Owner Address,Count,Total Supposed Barb,Received Barb,Delta Barb
NAU4SX7TIMDEH22B3NJENYFX4VCE4UQZAK3NMEGTNHDYEMZA34OSKJALAA,11,503202.19576,91491.30832,411710.88743999996
SHWFCX7LJM5XT3RPJAK7JJAPS26MPIGS4AICJIR5P6IESK25VXEPLFPLXA,1,45745.65416,0,45745.65416
OB3FNV5LORLRPN2Q67EACAE5GV6IHTJKNRBDLV4AG4P4MJQ3SHDO4AGG2Y,7,320219.57912,0,320219.57912
KG6PYBGFUKRC5IXN74O4HD57ZFJGXUJA6Y6W7YZ3ZR25GNUU4RLFGPXVCE,1,45745.65416,0,45745.65416
FGMRSOV4HOFSPTL5R52MD5NYXZSFWYHXI6TO5OM5ZLAL76MU2NZMPZQQXE,1,45745.65416,0,45745.65416
X4BW3S3SH2IU734GXYKSJEJQN7IBQV3T2DJENDXDJ4PAMN52TWQBKU3OIA,1,45745.65416,0,45745.65416
2LLQW6CVAGOITW4Y6QSJSL65V3BA5HENRI4QPWNXZQHKUPPLWW3FU23X5I,8,365965.23328,182982.61664,182982.61664
MMOSX2JGAAFRRPPQFZBR4BNCGJFQF4WKHI2JKB76DQZV7ZVIELRSBXR2ZQ,1,45745.65416,0,45745.65416
HFKXHXLHMBBVEMZMRU6J3GTMF33DRITOEJ2ZW5Z5FXTJXCZQCH5FKYWOW4,3,137236.96248,91491.30832,45745.65415999999
4W7CN4VMAKV6C3IILWNFWTA4AKUKZ5VN2JVIOOIFPYJKR6ZOXUDLJI4BIU,1,45745.65416,0,45745.65416
A5O5BARCFD7GXMEBBWSWT2NEV7YVADUBD36G7UPKFUUF3K2UM5UQW5TOAE,1,45745.65416,0,45745.65416
HHHWT2YRZUS4UVH3MKFP443UC3UK5JRCVUGO4A7KUP7CWLQ75NBFCAGPN4,1,45745.65416,0,45745.65416
BWBJ53OAF4RIJRH732IYDKFM6POSKPQNFPBSXRA7FEWSALN4NJAJMUBD6M,4,182982.61664,91491.30832,91491.30832
M2HJEAGZNU6RNHD45PTSJ6XQJATELLUSNSG66ELB2OEHQ2YNJPSGW7IRBM,1,45745.65416,0,45745.65416
ZQYBF6ZZFCFX5KKU52KFTDI6GFEMASF6MQDFJDM5SIFFNFXROKUKLOCJ6M,1,45745.65416,0,45745.65416
BICALISV5BS2ABYPPTN5ZFYK4GSZCLNDFW74XCZR6ILR57JNUZDH6WFXKM,1,45745.65416,0,45745.65416
5URM4YO6WI2MQ66D3XRZXSKOBMEXDCSMBIUW2RVB2LYDPATKNIX4YVJOGY,12,548947.84992,137236.96248,411710.88743999996
KCUZ4IDRBPZRXAMIKK6XTEOKOR5QQKXGF6PVX2AP64G4GEQ6YWGW3A67T4,4,182982.61664,91491.30832,91491.30832
6JE4JOOWQZFBZUVDO6HIPVQO2QFFPSB7JMLS265A7QRX7RUH5DLTPFSN2U,1,45745.65416,0,45745.65416
JQOQABKD5YXNTS3DAK2S3JN3ZXMENK2SDEBY5TMFTFTAR6PDCOZCOY7AGQ,3,137236.96248,0,137236.96248
JKR2NGDTEFYIJ4VDHKEPYDB3HLHM4ML3LDXJMALZS7TY4I5D647ZC2RR2E,1,45745.65416,0,45745.65416
4COBKPYUMUUGYDKNZRN7LXERSS4WGIXX3HUYCXLSWVNBFNF4C6LNQ52SS4,2,91491.30832,45745.65416,45745.65416
PMSK6STFUXUS245ICAQUM7C5MOQV67M5SKJCNCSF7PDNWO2OCUGYDXM3RI,1,45745.65416,0,45745.65416
L7C2IEQPYFZFPQ5RYTGOEQH46UKTTA42BICJFN72ZLCVHR4X4TVBJTFDLM,4,182982.61664,91491.30832,91491.30832
IV4VQ5DW3JVUMRBXBBOAKASTAGOUXFRZPPHIC2HHSW2G4QYICNCYW2AXPU,1,45745.65416,0,45745.65416
TJERHHAVFSOHDSZ4VGKGW23PXHEVEMHGTB3N2XTJ4ENCAKNNPSF7WYGS4E,7,320219.57912,91491.30832,228728.2708
KUPOQAPJROGYPN6URYVJZCI7EFDSS3F6A56AN7QT46BRQOMRSZAVI2SPZ4,1,45745.65416,0,45745.65416
MV2JQVTOXBQ6RGPKR6YC5EC2XPC3DQBOA2APY3LKYNSZCZ36J7RP7N6FR4,1,45745.65416,0,45745.65416
